model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 E Class,2013,Manual,127600,Diesel,125,51.4,2.1,5995
 GLE Class,2016,Semi-Auto,27229,Diesel,305,39.2,3.0,34698
 C Class,2019,Semi-Auto,3466,Petrol,145,30.4,3.0,39500
 B Class,2013,Manual,54257,Diesel,30,61.4,1.5,8200
 B Class,2019,Automatic,2653,Diesel,145,55.4,2.0,23290
 A Class,2020,Semi-Auto,16,Petrol,145,32.8,2.0,49980
 C Class,2016,Automatic,86620,Hybrid,0,134.5,2.0,13295
 C Class,2017,Automatic,30525,Petrol,145,44.1,2.0,25172
 E Class,2008,Semi-Auto,55000,Petrol,570,19.8,6.2,14995
 C Class,2018,Automatic,18257,Diesel,145,67.3,2.1,25399
 C Class,2019,Semi-Auto,1000,Petrol,145,29.1,3.0,49669
 SL CLASS,2019,Semi-Auto,10368,Petrol,145,36.2,3.0,32995
 A Class,2016,Semi-Auto,42958,Diesel,20,67.3,2.1,17749
 GLE Class,2017,Semi-Auto,23747,Diesel,150,42.8,3.0,29998
 C Class,2019,Semi-Auto,100,Diesel,145,64.2,2.0,28995
 A Class,2017,Semi-Auto,21940,Petrol,150,40.9,2.0,26950
 C Class,2019,Semi-Auto,4128,Diesel,145,61.4,2.0,26356
 E Class,2017,Automatic,24325,Diesel,145,65.7,2.0,20690
 GLA Class,2015,Semi-Auto,36462,Diesel,125,55.4,2.1,17485
 GL Class,2015,Automatic,85437,Diesel,325,36.2,3.0,24975
 CL Class,2017,Semi-Auto,24325,Petrol,150,40.9,2.0,31000
 C Class,2016,Manual,47140,Diesel,30,64.2,2.1,14000
 GLC Class,2016,Automatic,44445,Diesel,125,56.5,2.1,20750
 A Class,2019,Automatic,6945,Petrol,150,28.5,1.3,23980
 C Class,2019,Semi-Auto,1000,Diesel,145,61.4,2.0,31999
 C Class,2016,Automatic,26544,Diesel,20,64.2,2.1,16699
 A Class,2014,Automatic,53251,Diesel,20,68.9,1.5,10490
 C Class,2019,Automatic,4988,Petrol,150,44.8,1.6,29999
 C Class,2016,Semi-Auto,59625,Diesel,30,64.2,2.1,18350
 C Class,2014,Automatic,31000,Diesel,30,64.2,2.1,16995
 E Class,2019,Automatic,8100,Diesel,145,57.7,2.0,36890
 E Class,2015,Semi-Auto,40085,Diesel,160,51.4,2.1,16499
 B Class,2019,Semi-Auto,9318,Petrol,145,45.6,1.3,21980
 B Class,2014,Semi-Auto,40217,Diesel,30,64.2,1.5,9498
 A Class,2020,Manual,9,Petrol,145,47.1,1.3,24995
 C Class,2011,Automatic,80268,Diesel,145,56.5,2.1,7449
 C Class,2018,Semi-Auto,8942,Petrol,145,46.3,1.5,23199
 C Class,2018,Semi-Auto,7809,Diesel,145,54.3,2.0,29532
 A Class,2016,Manual,35000,Diesel,20,68.9,1.5,12990
 GLA Class,2019,Semi-Auto,6155,Diesel,145,56.5,2.1,26099
 C Class,2019,Automatic,2950,Petrol,145,41.5,2.0,28980
 GLC Class,2019,Automatic,7966,Diesel,150,56.5,2.1,26000
 C Class,2017,Semi-Auto,44118,Hybrid,0,134.5,2.0,18240
 C Class,2019,Automatic,5653,Diesel,145,54.3,1.6,29650
 X-CLASS,2019,Automatic,37,Diesel,260,35.8,2.3,28900
 CL Class,2017,Semi-Auto,27938,Diesel,145,67.3,2.1,17092
 E Class,2017,Semi-Auto,32861,Diesel,145,61.4,2.0,22980
 A Class,2017,Manual,27000,Petrol,125,51.4,1.6,16500
 A Class,2018,Automatic,89,Diesel,145,65.7,1.5,19950
 SL CLASS,2016,Semi-Auto,11813,Diesel,30,70.6,2.1,18991
 S Class,2019,Automatic,1501,Diesel,145,41.5,3.0,54990
 C Class,2017,Semi-Auto,9453,Diesel,145,64.2,2.1,19999
 CLS Class,2014,Automatic,100552,Diesel,200,46.3,3.0,11975
 E Class,2019,Semi-Auto,11082,Diesel,145,72.4,2.0,25780
 A Class,2020,Semi-Auto,1500,Petrol,145,53.3,1.3,26981
 E Class,2018,Semi-Auto,20772,Diesel,145,65.7,2.0,22980
 S Class,2019,Semi-Auto,11876,Diesel,145,52.3,3.0,47599
 V Class,2018,Manual,23075,Diesel,145,46.3,2.1,18450
 C Class,2019,Semi-Auto,2985,Petrol,145,44.1,1.5,32199
 A Class,2018,Semi-Auto,14843,Diesel,145,68.9,2.1,18480
 GL Class,2017,Automatic,8442,Diesel,145,56.5,2.1,26499
 C Class,2019,Semi-Auto,6880,Petrol,145,46.3,1.5,25849
 C Class,2015,Automatic,62439,Diesel,150,53.3,2.1,10700
 GLC Class,2019,Semi-Auto,5529,Diesel,145,40.9,2.0,37000
 A Class,2016,Manual,14307,Diesel,20,68.9,1.5,14646
 C Class,2019,Semi-Auto,14234,Petrol,145,46.3,1.5,24599
 C Class,2018,Semi-Auto,4500,Petrol,145,44.1,1.5,22900
 C Class,2019,Automatic,8820,Diesel,145,57.7,2.0,28500
 GLE Class,2019,Automatic,3925,Diesel,145,32.8,3.0,52799
 GLA Class,2016,Semi-Auto,24500,Diesel,30,64.2,2.1,18431
 C Class,2018,Automatic,7175,Diesel,145,57.7,2.0,26625
 CL Class,2016,Automatic,73670,Diesel,20,70.6,2.1,14840
 A Class,2020,Semi-Auto,1000,Petrol,145,53.3,1.3,25879
 C Class,2019,Automatic,8500,Diesel,145,61.4,2.0,30889
 GLB Class,2020,Semi-Auto,16,Diesel,145,44.8,2.0,38980
 GLC Class,2018,Semi-Auto,10149,Diesel,145,56.5,2.1,28172
 GL Class,2015,Semi-Auto,36281,Diesel,330,36.2,3.0,31998
 C Class,2015,Automatic,56546,Hybrid,0,74.3,2.1,17699
 GLE Class,2017,Semi-Auto,12122,Diesel,145,47.9,2.1,31298
 C Class,2019,Semi-Auto,10503,Petrol,145,44.1,1.5,25349
 A Class,2017,Automatic,40381,Diesel,20,74.3,1.5,16499
 C Class,2018,Semi-Auto,22318,Diesel,145,67.3,2.1,22201
 CL Class,2017,Semi-Auto,42300,Diesel,125,58.9,2.1,18099
 C Class,2019,Semi-Auto,9613,Diesel,150,61.4,2.0,29950
 C Class,2016,Automatic,80195,Diesel,20,64.2,2.1,14999
 GLC Class,2016,Automatic,36000,Diesel,125,56.5,2.1,24995
 A Class,2018,Semi-Auto,5250,Petrol,145,53.3,1.3,24995
 E Class,2016,Semi-Auto,60931,Diesel,125,58.9,2.1,15995
 B Class,2019,Automatic,2184,Diesel,145,55.4,2.0,23999
 A Class,2016,Manual,34033,Diesel,20,68.9,1.5,13999
 GLC Class,2018,Semi-Auto,10638,Petrol,145,34.0,3.0,38990
 A Class,2019,Semi-Auto,1000,Diesel,145,67.3,1.5,23349
 SLK,1998,Automatic,113557,Petrol,265,32.1,2.3,1990
 E Class,2016,Semi-Auto,48207,Diesel,30,65.7,2.0,18795
 E Class,2018,Semi-Auto,4003,Petrol,145,32.1,4.0,55749
 C Class,2016,Semi-Auto,25441,Hybrid,0,134.5,2.0,18790
 A Class,2019,Automatic,3535,Petrol,145,53.3,1.3,22966
 C Class,2016,Automatic,52749,Hybrid,0,76.4,2.1,17500
 CLS Class,2018,Semi-Auto,24315,Diesel,145,57.7,2.1,23995
 A Class,2017,Automatic,19425,Diesel,145,68.9,2.1,16499
 GLA Class,2015,Automatic,55582,Diesel,125,56.5,2.1,16250
 GL Class,2016,Automatic,54761,Diesel,125,56.6,2.1,15750
 C Class,2017,Semi-Auto,18390,Petrol,145,50.4,2.0,18491
 A Class,2016,Manual,30258,Diesel,30,62.8,2.1,16999
 E Class,2017,Automatic,18902,Diesel,145,65.7,2.0,22482
 GLA Class,2015,Semi-Auto,27146,Diesel,20,67.3,2.1,16000
 GLC Class,2017,Automatic,26865,Diesel,150,56.5,2.1,30998
 C Class,2019,Automatic,650,Petrol,145,46.3,1.5,26289
 A Class,2014,Manual,53520,Diesel,30,64.2,2.1,11353
 C Class,2016,Automatic,34794,Diesel,30,64.2,2.1,17491
 X-CLASS,2019,Automatic,500,Diesel,260,35.8,2.3,26995
 C Class,2016,Automatic,47448,Hybrid,0,134.5,2.0,17979
 GLA Class,2016,Automatic,36535,Diesel,125,56.5,2.1,17995
 E Class,2015,Automatic,7315,Diesel,160,50.4,3.0,18995
 GLC Class,2018,Semi-Auto,22216,Diesel,145,47.9,3.0,30862
 GLC Class,2019,Semi-Auto,9351,Diesel,145,42.2,2.1,32199
 E Class,2018,Automatic,870,Diesel,145,57.7,2.0,29981
 GL Class,2015,Automatic,24963,Diesel,125,55.4,2.1,17799
 A Class,2017,Semi-Auto,38530,Diesel,145,68.9,2.1,15995
 C Class,2019,Automatic,1218,Diesel,145,56.5,2.0,30950
 GL Class,2015,Automatic,24314,Diesel,125,56.6,2.1,17999
 SLK,2013,Semi-Auto,44226,Diesel,145,56.5,2.0,10498
 E Class,2019,Semi-Auto,11700,Diesel,145,48.7,3.0,36699
 GLC Class,2019,Automatic,4749,Diesel,145,42.2,2.1,35990
 GLA Class,2019,Semi-Auto,11005,Diesel,145,67.3,2.1,23250
 C Class,2019,Semi-Auto,1000,Diesel,145,57.7,2.0,33999
 GL Class,2017,Automatic,25462,Diesel,145,56.5,2.1,24999
 C Class,2016,Semi-Auto,23077,Diesel,30,64.2,2.1,18449
 C Class,2019,Semi-Auto,7721,Petrol,145,44.1,2.0,27000
 B Class,2019,Automatic,14421,Petrol,145,45.6,1.3,20248
 S Class,2019,Automatic,2255,Diesel,145,52.3,3.0,54999
 CLS Class,2016,Automatic,41253,Diesel,125,57.7,2.1,16957
 E Class,2019,Automatic,5683,Diesel,145,70.6,2.0,32499
 C Class,2017,Automatic,24798,Diesel,20,68.9,2.1,19000
 A Class,2016,Manual,38425,Diesel,20,68.9,1.5,13999
 C Class,2018,Semi-Auto,7894,Diesel,145,60.1,2.1,20498
 GLA Class,2018,Semi-Auto,15728,Diesel,145,56.5,2.1,21980
 B Class,2019,Semi-Auto,8612,Diesel,145,54.3,2.0,26395
 C Class,2019,Semi-Auto,14301,Petrol,145,46.3,1.5,19799
 A Class,2019,Automatic,4554,Diesel,145,62.8,1.5,22299
 A Class,2016,Manual,27744,Diesel,30,62.8,2.1,15351
 C Class,2016,Automatic,18107,Diesel,20,64.2,2.1,16900
 CL Class,2018,Semi-Auto,20297,Petrol,145,53.3,1.6,19991
 A Class,2019,Automatic,1816,Diesel,145,56.5,2.0,23999
 C Class,2018,Automatic,6813,Diesel,145,60.1,2.1,20899
 C Class,2016,Semi-Auto,55877,Diesel,125,60.1,2.1,17443
 A Class,2018,Semi-Auto,1850,Petrol,145,53.3,1.3,23599
 G Class,2020,Semi-Auto,1350,Petrol,145,21.4,4.0,159999
 C Class,2019,Semi-Auto,10776,Diesel,145,61.4,2.0,20849
 A Class,2016,Manual,21396,Diesel,20,72.4,1.5,13999
 GLE Class,2018,Semi-Auto,13000,Diesel,145,47.9,2.1,33999
 GLA Class,2015,Automatic,37115,Diesel,125,55.4,2.1,16993
 A Class,2016,Manual,26523,Petrol,125,51.4,1.6,13049
 C Class,2014,Semi-Auto,49152,Diesel,20,64.2,2.1,14498
 E Class,2019,Semi-Auto,5237,Diesel,145,70.6,2.0,33149
 A Class,2016,Manual,19022,Diesel,20,68.9,1.5,15999
 GLC Class,2019,Semi-Auto,2677,Diesel,145,44.8,2.0,32500
 CL Class,2017,Semi-Auto,11000,Petrol,145,40.9,2.0,33799
 C Class,2018,Automatic,8890,Diesel,145,61.4,2.0,23022
 B Class,2019,Automatic,10017,Petrol,145,45.6,1.3,21599
 E Class,2019,Semi-Auto,4422,Diesel,145,42.8,2.0,33480
 M Class,2015,Automatic,49000,Diesel,200,45.6,2.2,18450
 E Class,2019,Semi-Auto,9,Diesel,145,45.6,2.0,35980
 A Class,2018,Semi-Auto,14289,Petrol,150,49.6,1.6,16500
 GLC Class,2019,Semi-Auto,9624,Diesel,145,41.5,2.1,31640
 C Class,2019,Semi-Auto,13435,Diesel,145,56.5,2.0,28480
 E Class,2019,Automatic,15156,Diesel,145,67.3,2.0,25276
 CL Class,2018,Semi-Auto,5194,Diesel,150,67.3,2.1,21995
 GLA Class,2017,Automatic,10827,Diesel,125,56.5,2.1,21182
 A Class,2017,Manual,40000,Diesel,0,80.7,1.5,13477
 V Class,2019,Semi-Auto,2888,Diesel,145,36.7,2.0,46980
 E Class,2019,Semi-Auto,9612,Petrol,145,32.5,3.0,49699
 C Class,2018,Automatic,5905,Petrol,145,49.6,2.0,23799
 E Class,2015,Semi-Auto,44704,Diesel,150,56.5,2.1,15999
 C Class,2018,Automatic,9055,Diesel,145,57.7,2.0,26595
 B Class,2020,Semi-Auto,1499,Diesel,145,55.4,2.0,23990
 E Class,2017,Semi-Auto,46230,Diesel,145,67.3,2.0,19998
 GL Class,2016,Manual,42320,Diesel,20,64.2,2.1,15000
 GLE Class,2020,Automatic,1000,Diesel,145,32.8,2.9,53998
 A Class,2019,Automatic,4399,Petrol,145,36.7,2.0,36987
 C Class,2019,Semi-Auto,5831,Petrol,145,41.5,2.0,30999
 GLE Class,2019,Semi-Auto,3853,Diesel,145,36.7,2.0,47750
 GLS Class,2017,Semi-Auto,32875,Diesel,305,37.2,3.0,41990
 CLS Class,2018,Automatic,16568,Diesel,145,48.7,2.9,34390
 A Class,2019,Manual,1043,Petrol,145,47.1,1.3,23399
 E Class,2018,Automatic,31034,Diesel,145,61.4,2.0,20900
 E Class,2016,Semi-Auto,40184,Diesel,30,65.7,2.0,18280
 E Class,2019,Semi-Auto,12236,Diesel,145,58.9,2.0,28799
 E Class,2019,Automatic,14140,Diesel,145,72.4,2.0,26026
 GLA Class,2018,Semi-Auto,6500,Diesel,145,67.3,2.1,22299
 C Class,2018,Automatic,7351,Petrol,145,40.4,2.0,23480
 GLE Class,2019,Automatic,2005,Diesel,145,32.5,3.0,55885
 B Class,2019,Semi-Auto,11161,Petrol,145,45.6,1.3,22399
 C Class,2008,Automatic,123000,Diesel,265,42.2,2.1,3995
 C Class,2015,Semi-Auto,48000,Diesel,30,64.2,2.1,16699
 E Class,2018,Automatic,14228,Petrol,150,40.4,2.0,27000
 A Class,2017,Manual,24476,Diesel,30,62.8,2.1,15600
 B Class,2019,Semi-Auto,7214,Diesel,145,55.4,2.0,21998
 B Class,2019,Semi-Auto,1998,Diesel,145,55.4,2.0,23480
 C Class,2017,Semi-Auto,17257,Petrol,145,50.4,2.0,19495
 GLA Class,2018,Semi-Auto,46485,Diesel,150,64.2,2.1,12931
 CL Class,2016,Semi-Auto,43726,Diesel,20,67.3,2.1,17999
 GLA Class,2017,Automatic,22163,Diesel,125,56.5,2.1,19000
 A Class,2019,Semi-Auto,576,Diesel,145,56.5,2.0,24599
 GLE Class,2018,Automatic,33177,Diesel,150,37.7,3.0,30000
 C Class,2019,Semi-Auto,16,Petrol,145,46.3,1.5,29980
 A Class,2019,Semi-Auto,10847,Petrol,145,28.5,1.3,21495
 C Class,2015,Automatic,74044,Diesel,20,64.2,2.1,13362
 S Class,2012,Automatic,107000,Petrol,265,36.7,3.5,10948
 A Class,2019,Semi-Auto,17131,Diesel,145,65.7,1.5,18480
 C Class,2019,Semi-Auto,10111,Diesel,145,61.4,2.0,27889
 C Class,2016,Semi-Auto,41356,Diesel,30,61.4,2.1,18150
 C Class,2019,Semi-Auto,8559,Diesel,145,64.2,2.0,29749
 CL Class,2019,Semi-Auto,2566,Petrol,145,39.8,2.0,29399
 B Class,2019,Automatic,5256,Diesel,145,55.4,2.0,22550
 E Class,2016,Semi-Auto,13177,Diesel,20,72.4,2.0,19349
 A Class,2017,Semi-Auto,21470,Diesel,20,74.3,1.5,15178
 C Class,2015,Semi-Auto,22958,Diesel,30,64.2,1.6,17712
 A Class,2016,Manual,19043,Diesel,20,72.4,1.5,13499
 E Class,2015,Automatic,51933,Diesel,125,61.4,2.1,13527
 SL CLASS,2016,Automatic,19425,Petrol,555,28.0,5.5,47995
 B Class,2019,Automatic,12617,Petrol,145,45.6,1.3,21856
 C Class,2019,Automatic,5477,Diesel,145,58.9,2.1,28180
 E Class,2019,Semi-Auto,1667,Diesel,145,57.7,2.0,36000
 V Class,2019,Automatic,18625,Diesel,145,48.7,2.1,20750
 GLE Class,2018,Automatic,16000,Diesel,145,47.9,2.1,30948
 E Class,2016,Automatic,12902,Diesel,165,50.4,3.0,22636
 GL Class,2016,Automatic,35333,Diesel,30,64.2,2.1,16499
 C Class,2016,Automatic,18903,Diesel,30,64.2,2.1,19300
 A Class,2017,Manual,19573,Petrol,125,52.3,1.6,14124
 A Class,2019,Semi-Auto,7301,Diesel,145,56.5,2.0,24890
 E Class,2017,Semi-Auto,18444,Diesel,145,65.7,2.0,23480
 CLS Class,2014,Semi-Auto,53931,Diesel,200,46.3,3.0,16500
 E Class,2013,Automatic,81200,Diesel,125,57.7,2.1,11295
 GLC Class,2020,Semi-Auto,2400,Diesel,145,40.9,2.0,38995
 C Class,2017,Semi-Auto,23257,Diesel,145,61.4,2.1,18660
 V Class,2019,Semi-Auto,14086,Diesel,145,45.6,2.2,38995
 C Class,2017,Semi-Auto,14812,Diesel,145,64.2,1.6,18801
 C Class,2019,Automatic,2343,Diesel,145,61.4,2.0,29995
 C Class,2019,Semi-Auto,14284,Diesel,145,61.4,2.0,25980
 GLC Class,2019,Automatic,6000,Diesel,145,44.8,2.0,35400
 C Class,2015,Automatic,91639,Petrol,300,34.5,4.0,24500
 C Class,2019,Semi-Auto,13731,Diesel,145,61.4,2.0,20999
 E Class,2020,Semi-Auto,648,Diesel,145,43.5,3.0,38990
 GLB Class,2020,Semi-Auto,19,Diesel,145,46.3,2.0,36980
 C Class,2019,Semi-Auto,9486,Diesel,145,54.3,2.0,31499
 C Class,2016,Semi-Auto,17410,Diesel,30,61.4,2.1,20500
 GLC Class,2019,Automatic,6750,Petrol,145,31.7,2.0,43981
 GLC Class,2019,Automatic,100,Diesel,145,44.8,2.0,31995
 C Class,2019,Semi-Auto,12030,Petrol,145,44.1,1.5,28799
 A Class,2017,Manual,29785,Diesel,145,68.9,1.5,15892
 C Class,2019,Automatic,1544,Diesel,145,64.2,2.0,28990
 CLS Class,2016,Automatic,42651,Diesel,145,56.5,2.1,19383
 C Class,2019,Semi-Auto,2827,Petrol,145,45.6,1.5,24500
 C Class,2017,Manual,33273,Diesel,20,65.7,2.1,14420
 E Class,2019,Semi-Auto,13304,Diesel,145,72.4,2.0,26499
 C Class,2018,Semi-Auto,13440,Diesel,145,64.2,2.0,25299
 C Class,2019,Automatic,2850,Petrol,145,44.1,2.0,33000
 V Class,2015,Semi-Auto,56617,Diesel,235,44.8,2.2,25990
 GLA Class,2016,Semi-Auto,25639,Diesel,20,67.3,2.1,17500
 C Class,2019,Semi-Auto,3615,Petrol,145,28.8,3.0,41400
 C Class,2017,Semi-Auto,31727,Diesel,145,64.2,2.1,18999
 C Class,2019,Semi-Auto,3376,Diesel,145,64.2,2.0,28999
 C Class,2018,Semi-Auto,15900,Petrol,145,48.7,2.0,20690
 A Class,2020,Semi-Auto,497,Diesel,145,56.5,2.0,28490
 E Class,2017,Automatic,26000,Diesel,145,72.4,2.0,21890
 E Class,2019,Semi-Auto,8482,Diesel,145,48.7,3.0,37899
 C Class,2019,Semi-Auto,2008,Petrol,145,46.3,1.5,32399
 GLE Class,2017,Semi-Auto,21566,Hybrid,135,76.4,3.0,38572
 A Class,2015,Semi-Auto,32230,Diesel,20,68.9,1.5,13022
 A Class,2017,Manual,18791,Petrol,125,51.4,1.6,14999
 CLS Class,2016,Automatic,20500,Diesel,125,57.7,2.1,19495
 A Class,2018,Semi-Auto,9753,Petrol,145,53.3,1.3,19097
 E Class,2017,Automatic,26002,Diesel,145,65.7,2.0,19696
 A Class,2016,Manual,43461,Diesel,30,62.8,2.1,14800
 E Class,2018,Automatic,24000,Diesel,145,51.4,3.0,23990
 C Class,2016,Semi-Auto,35800,Diesel,30,64.2,2.1,16800
 C Class,2013,Automatic,57801,Diesel,145,53.3,2.1,9700
 CL Class,2017,Automatic,21386,Diesel,20,67.3,2.1,20290
 C Class,2015,Manual,36006,Diesel,20,70.6,2.1,13890
 GLC Class,2020,Semi-Auto,4999,Diesel,145,40.9,2.0,36995
 GLA Class,2015,Semi-Auto,72300,Diesel,125,55.4,2.1,14595
 C Class,2019,Automatic,2000,Diesel,145,64.2,2.0,32980
 C Class,2016,Manual,65548,Diesel,20,72.4,1.6,11999
 C Class,2019,Semi-Auto,3999,Petrol,145,29.7,3.0,45980
 CL Class,2018,Semi-Auto,25276,Petrol,145,53.3,1.6,20932
 S Class,2019,Automatic,12000,Hybrid,140,100.9,3.0,56900
 B Class,2019,Automatic,10651,Petrol,145,45.6,1.3,21290
 A Class,2020,Manual,9,Petrol,145,28.5,1.3,24780
 GLC Class,2019,Semi-Auto,9487,Diesel,145,40.9,2.0,38999
 E Class,2015,Automatic,43000,Diesel,125,57.7,2.1,14990
 GLC Class,2019,Semi-Auto,138,Diesel,145,44.8,2.0,34499
 SL CLASS,2019,Semi-Auto,8899,Petrol,145,47.1,2.0,29990
 A Class,2013,Manual,51896,Diesel,125,61.4,1.8,12499
 C Class,2016,Automatic,25448,Petrol,125,51.4,2.0,16999
 GLC Class,2017,Semi-Auto,34937,Diesel,145,56.5,2.1,24490
 S Class,2018,Automatic,11876,Petrol,145,38.2,3.0,47480
 C Class,2014,Automatic,56346,Diesel,20,64.2,2.1,13000
 C Class,2019,Semi-Auto,5766,Diesel,145,61.4,2.0,29699
 A Class,2017,Manual,25428,Petrol,145,51.4,1.6,16015
 E Class,2019,Automatic,3877,Petrol,145,33.7,2.0,36500
 GL Class,2015,Automatic,40659,Diesel,125,56.5,2.1,16799
 A Class,2014,Semi-Auto,41136,Diesel,20,64.2,2.1,13490
 GLA Class,2019,Semi-Auto,13734,Diesel,145,67.3,2.1,22800
 S Class,2019,Automatic,1000,Diesel,145,52.3,3.0,67109
 V Class,2018,Automatic,12392,Diesel,145,45.6,2.1,32748
 GLC Class,2019,Semi-Auto,2738,Diesel,150,40.4,2.0,42750
 E Class,2019,Semi-Auto,1000,Petrol,150,31.0,4.0,75099
 A Class,2017,Manual,24767,Diesel,145,65.7,2.1,15280
 GLE Class,2019,Automatic,9254,Diesel,145,32.8,3.0,55981
 C Class,2020,Semi-Auto,5000,Diesel,145,64.2,2.0,34995
 C Class,2018,Semi-Auto,14389,Diesel,145,67.3,2.1,22595
 E Class,2019,Semi-Auto,10306,Diesel,145,72.4,2.0,25149
 CL Class,2014,Semi-Auto,25237,Diesel,30,62.8,2.1,17660
 A Class,2016,Semi-Auto,45809,Diesel,20,68.9,2.1,15549
 CLS Class,2014,Automatic,32757,Diesel,145,54.3,2.1,14000
 A Class,2014,Automatic,24632,Diesel,20,68.9,2.1,12360
 C Class,2019,Semi-Auto,1000,Petrol,145,29.1,3.0,49499
 A Class,2017,Automatic,13615,Diesel,145,68.9,2.1,17259
 A Class,2016,Semi-Auto,51841,Diesel,20,68.9,2.1,15703
 C Class,2016,Automatic,38154,Hybrid,0,74.3,2.1,19599
230,2007,Automatic,94000,Petrol,520,29.4,0.0,4500
 E Class,2016,Semi-Auto,42112,Diesel,125,58.9,2.1,17480
 CL Class,2019,Semi-Auto,14477,Diesel,145,51.4,2.2,25980
 A Class,2017,Automatic,23431,Diesel,20,74.3,1.5,16500
 C Class,2019,Automatic,6206,Diesel,145,56.5,2.0,27995
 GLC Class,2019,Semi-Auto,12972,Diesel,145,56.5,2.1,30582
 CLS Class,2016,Semi-Auto,28925,Diesel,125,57.7,2.1,19998
 GLE Class,2020,Automatic,1159,Diesel,150,32.8,2.9,58450
 C Class,2019,Automatic,1499,Petrol,145,44.1,2.0,31890
 C Class,2016,Semi-Auto,36074,Diesel,30,64.2,1.6,17399
 M Class,2015,Semi-Auto,30657,Diesel,200,39.2,2.1,23995
 E Class,2017,Semi-Auto,19300,Diesel,30,65.7,2.0,23995
 C Class,2019,Semi-Auto,2000,Diesel,145,64.2,1.6,21899
 C Class,2019,Semi-Auto,1000,Diesel,145,51.4,2.0,32099
 A Class,2018,Semi-Auto,13693,Petrol,150,53.3,1.3,19890
 E Class,2019,Automatic,6214,Hybrid,135,188.3,2.0,43989
 A Class,2019,Automatic,1499,Diesel,145,62.8,1.5,22795
 A Class,2013,Automatic,97000,Diesel,30,65.7,1.8,8491
 E Class,2017,Automatic,45186,Diesel,145,70.6,2.0,20274
 CLS Class,2012,Automatic,66880,Diesel,200,46.3,3.0,12490
 C Class,2007,Semi-Auto,62000,Diesel,260,42.2,2.1,5995
 C Class,2019,Manual,3162,Petrol,145,47.1,1.6,23499
 A Class,2019,Automatic,3380,Diesel,145,56.5,2.0,23199
 CLS Class,2018,Semi-Auto,18559,Diesel,145,48.7,2.9,33000
 X-CLASS,2018,Manual,14243,Diesel,260,37.2,2.3,18991
 A Class,2017,Manual,15993,Petrol,145,52.3,1.6,14485
 A Class,2017,Manual,29737,Diesel,145,62.8,2.1,15000
 C Class,2019,Semi-Auto,13695,Diesel,145,61.4,2.0,19750
 E Class,2016,Semi-Auto,26905,Diesel,30,65.7,2.0,18199
 E Class,2016,Semi-Auto,14391,Diesel,30,65.7,2.0,20349
 A Class,2017,Semi-Auto,38907,Diesel,150,74.3,1.5,14995
 C Class,2019,Automatic,7478,Diesel,145,55.4,2.0,30299
 A Class,2016,Manual,63000,Diesel,30,62.8,2.1,13990
 C Class,2017,Automatic,30612,Diesel,145,64.2,2.1,16299
 C Class,2018,Automatic,12123,Diesel,145,60.1,2.1,21498
 S Class,2001,Automatic,108800,Diesel,325,31.7,3.2,1695
 C Class,2014,Semi-Auto,77043,Diesel,20,64.2,2.1,11750
 C Class,2008,Automatic,70000,Petrol,305,34.5,1.8,5875
 A Class,2019,Semi-Auto,2644,Diesel,150,56.5,2.0,25799
 C Class,2019,Semi-Auto,7109,Diesel,145,60.1,1.6,27780
 GLC Class,2019,Semi-Auto,2138,Diesel,145,40.9,2.0,37980
 CL Class,2019,Semi-Auto,166,Petrol,145,39.8,2.0,30599
 GLC Class,2019,Semi-Auto,2580,Diesel,145,44.8,2.0,36249
 E Class,2013,Automatic,28500,Diesel,145,54.3,2.1,13298
 C Class,2014,Automatic,54097,Diesel,145,56.5,2.1,10999
 CL Class,2019,Automatic,4038,Petrol,145,38.2,2.0,26799
 C Class,2019,Automatic,1499,Diesel,145,57.7,2.0,30995
 A Class,2018,Manual,20073,Petrol,145,51.4,1.6,15700
 X-CLASS,2019,Automatic,8100,Diesel,260,35.8,2.3,26000
 CL Class,2017,Semi-Auto,28600,Diesel,150,67.3,2.1,19990
 GLC Class,2017,Semi-Auto,26299,Diesel,145,56.5,2.1,28498
 GLB Class,2020,Semi-Auto,29,Diesel,145,44.8,2.0,40480
 GLC Class,2018,Semi-Auto,21275,Diesel,145,56.5,2.1,29480
 E Class,2019,Semi-Auto,10500,Diesel,145,70.6,2.0,36589
 C Class,2015,Manual,50299,Diesel,20,70.6,1.6,12599
 E Class,2014,Automatic,42000,Diesel,200,45.6,3.0,15995
 B Class,2020,Semi-Auto,5000,Diesel,145,55.4,2.0,24495
 SL CLASS,2017,Automatic,31286,Petrol,145,36.7,3.0,36900
 CLS Class,2016,Automatic,27167,Diesel,125,57.7,2.1,19770
 A Class,2019,Semi-Auto,4015,Diesel,145,65.7,1.5,21980
 A Class,2017,Manual,14632,Diesel,145,68.9,1.5,15949
 C Class,2016,Automatic,42427,Diesel,125,60.1,2.1,17100
 E Class,2016,Automatic,48031,Diesel,125,56.5,2.1,15499
 GLE Class,2019,Automatic,5000,Diesel,145,36.7,2.0,45995
 V Class,2018,Manual,11726,Diesel,145,46.3,2.1,19998
 E Class,2019,Automatic,14764,Diesel,145,72.4,2.0,25196
 C Class,2019,Semi-Auto,13898,Petrol,145,46.3,1.5,20349
 GLC Class,2016,Semi-Auto,26516,Diesel,125,56.5,2.1,21112
