model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 S Class,2014,Semi-Auto,13460,Diesel,205,48.7,3.0,29772
 A Class,2019,Semi-Auto,3377,Petrol,145,53.3,1.3,24652
 A Class,2016,Automatic,40000,Diesel,20,68.9,2.1,13990
 C Class,2016,Semi-Auto,27034,Diesel,30,65.7,1.6,16498
 GL Class,2018,Automatic,8291,Diesel,145,56.5,2.1,27699
 E Class,2015,Semi-Auto,32397,Diesel,125,56.5,2.1,18399
 E Class,2019,Semi-Auto,9436,Diesel,145,72.4,2.0,25481
 E Class,2015,Automatic,31000,Diesel,125,57.7,2.1,16490
 B Class,2016,Automatic,67558,Diesel,20,67.3,2.1,12441
 C Class,2019,Semi-Auto,4889,Petrol,145,44.1,2.0,30249
 CL Class,2017,Semi-Auto,33384,Diesel,145,67.3,2.1,21032
 GLA Class,2019,Semi-Auto,10420,Petrol,145,50.4,1.6,24449
 CL Class,2018,Semi-Auto,12829,Diesel,145,52.3,2.2,22997
 E Class,2019,Semi-Auto,13945,Diesel,145,72.4,2.0,24000
 C Class,2014,Manual,52000,Diesel,20,68.9,2.1,12990
 GLS Class,2020,Automatic,1000,Diesel,150,30.4,2.9,67899
 GLC Class,2018,Semi-Auto,6059,Petrol,145,27.4,4.0,51989
 C Class,2015,Manual,17426,Petrol,125,53.3,2.0,13898
 GLA Class,2014,Manual,22118,Diesel,30,62.8,2.1,13900
 C Class,2019,Semi-Auto,3402,Petrol,145,46.3,1.5,30980
 GLC Class,2016,Automatic,40343,Diesel,125,56.5,2.1,24995
 A Class,2016,Automatic,43586,Diesel,20,74.3,1.5,16798
 A Class,2018,Automatic,9141,Petrol,145,24.8,4.0,90900
 C Class,2011,Automatic,83000,Petrol,235,38.2,1.8,7995
 E Class,2019,Automatic,6828,Hybrid,135,188.3,2.0,38899
 GLE Class,2019,Semi-Auto,9354,Diesel,145,32.5,2.9,57599
 GLA Class,2014,Semi-Auto,35344,Diesel,150,55.4,2.1,16995
 GLC Class,2017,Automatic,35224,Diesel,125,56.5,2.1,25998
 GLC Class,2017,Semi-Auto,6500,Diesel,150,56.5,2.1,32995
 A Class,2015,Semi-Auto,31103,Diesel,20,74.3,1.5,13995
 B Class,2019,Automatic,11144,Petrol,145,45.6,1.3,22176
 GLS Class,2018,Automatic,16489,Diesel,145,37.2,3.0,43286
 A Class,2016,Automatic,45526,Diesel,20,74.3,1.5,12732
 E Class,2019,Semi-Auto,12677,Diesel,145,72.4,2.0,26480
 C Class,2019,Automatic,5510,Diesel,145,54.3,2.0,37449
 E Class,2019,Automatic,101,Petrol,145,32.5,3.0,47550
 C Class,2019,Automatic,386,Petrol,145,45.6,1.5,27299
 C Class,2015,Automatic,34797,Diesel,30,64.2,2.1,17900
 A Class,2018,Semi-Auto,10048,Diesel,145,67.3,1.5,21480
 C Class,2015,Manual,42918,Petrol,125,53.3,2.0,11500
 A Class,2017,Semi-Auto,27999,Diesel,20,67.3,2.1,18012
